"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1028",2020-06-20,"Spain",252,255624,16970628.1342467,255544.550347343,32800331.6016107,21813.1855363099,2.28611798175742,75374.6213549604,2137.57738963301,59347.0695366237,7,29352,432877.22627934,2936.43198177269,1099251.34492634,1431.61376160912,2.17268558843939,2387.16523622207,1466.07376246593,1739.18416142575,0.506085247027063,0.257275733706714,0.729018376761144,0.410886650506568,0.715306479099854
"1029",2020-06-21,"Spain",230,255854,16991384.2961452,255546.507208239,32872367.9585467,20756.1618985861,1.9568608960862,72036.3569359151,1916.42842412213,56654.6885030841,1,29353,434216.968869214,2938.36651486858,1101422.57785084,1339.74258987448,1.93453309588678,2171.23292450678,1383.86669213423,1628.89669980741,0.50565878460527,0.257275721054962,0.727553760592744,0.410842813923881,0.714096575276783
"1030",2020-06-22,"Spain",302,256156,17011135.933851,255548.182021849,32941187.2029696,19751.6377057503,1.67481361009498,68819.2444229784,1718.15172617472,54076.9975554123,1,29354,435471.721322521,2940.0879145446,1103396.53820223,1254.75245330682,1.72139967602087,1973.96035138732,1253.18562242124,1544.58833268457,0.505253034328382,0.257275710225361,0.726152676512723,0.410803542605785,0.712941698013655
"1031",2020-06-23,"Spain",341,256497,17029932.7186898,255549.615359028,33006869.420974,18796.7848387515,1.43333717874815,65682.2180043955,1540.3829197001,51609.6407872354,1,29355,436647.570984117,2941.61844804175,1105212.20817657,1175.84966159608,1.53053349714957,1815.66997434379,1133.26721898995,1511.96280951115,0.504866962456107,0.257275700956648,0.724812615184867,0.410768361257938,0.711839507498705
"1032",2020-06-24,"Spain",393,256890,17047821.6619029,255550.842012724,33069619.6730029,17888.9432131891,1.22665369577281,62750.252028895,1381.00198719352,49248.355114574,2,29357,437750.173686281,2942.97871391152,1106975.69464899,1102.60270216432,1.36026586977213,1763.48647241426,1024.22872679727,1473.65689862988,0.504499591407922,0.257275693024299,0.723531148444801,0.410736844045258,0.710787751538875
"1033",2020-06-25,"Spain",355,257245,17064847.2949386,255551.891785814,33129575.9620425,17025.6330357053,1.04977309059259,59956.2890395861,1238.10791748322,46989.0464020608,3,29360,438784.761689971,2944.18609913779,1108706.0818109,1034.58800368935,1.20738522627228,1730.38716191129,927.434028594864,1414.60160479395,0.504149996373251,0.257275686235767,0.722305928550791,0.410708609446777,0.709784263855093
"1034",2020-06-26,"Spain",394,257639,17081051.8363228,255552.790190955,33186853.0331944,16204.5413841155,0.898405140313503,57277.0711519353,1109.95422774299,44827.7865217979,8,29368,439756.157899938,2945.25724132887,1110395.62251312,971.396209967386,1.07114219108283,1689.54070222348,846.300330827816,1355.02236047687,0.503817301704952,0.25727568042612,0.721134685752713,0.410683315647339,0.708826960819676
"1035",2020-06-27,"Spain",300,257939,17096475.3400028,255553.5590617,33241561.7463198,15423.5036800607,0.768870745606166,54708.7131253116,994.959511995836,42773.6331679656,3,29371,440668.883165197,2946.20726759629,1112032.91986575,912.72526525919,0.950026267414267,1637.29735262529,765.340327178497,1321.67560055789,0.503500677587264,0.257275675454167,0.72001522591542,0.410660656408734,0.707913838236257
"1036",2020-06-28,"Spain",255,258194,17111155.8269599,255554.21708089,33293809.1578721,14680.4869570665,0.658019189483307,52247.4115523493,891.876551682531,40819.5073302766,2,29373,441526.669638175,2947.04877489495,1113632.71739376,857.786472977703,0.841507298657726,1599.79752800833,694.618516324713,1290.69422533733,0.503199337073455,0.257275671199078,0.718926703887036,0.410640357369827,0.707011483443668
"1037",2020-06-29,"Spain",397,258591,17125129.4033545,255554.780234947,33343692.5658881,13973.5763946375,0.563154057567386,49883.4080160209,799.471880077341,38950.3598772701,3,29376,442333.290354993,2947.79415057052,1115193.52024811,806.620716818459,0.745375675577291,1560.80285435453,626.063091492661,1258.14029493523,0.502912533456167,0.257275667557461,0.717891721726948,0.410622172731027,0.706031406811819
